date,MSDEWIN Index,macd_12_26
2001-07-30,127.312,-2.3756923076923044
2001-07-31,128.484,-2.4909935897435815
2001-08-01,128.632,-2.5205576923076904
2001-08-02,129.078,-2.5869423076923113
2001-08-03,127.802,-2.3478205128205047
2001-08-06,127.525,-2.1925576923076733
2001-08-07,128.344,-1.873615384615377
2001-08-08,126.636,-1.5749615384615367
2001-08-09,124.258,-1.2136666666666684
2001-08-10,123.765,-0.910435897435903
2001-08-13,123.438,-0.8629230769230674
2001-08-14,124.126,-0.8822179487179369
2001-08-15,122.273,-1.0482115384615298
2001-08-16,121.672,-1.38895512820514
2001-08-17,119.532,-1.706903846153864
2001-08-20,120.212,-2.0062371794872007
2001-08-21,119.946,-2.2622884615384464
2001-08-22,119.64,-2.486910256410269
2001-08-23,120.083,-2.882173076923067
2001-08-24,121.926,-3.005519230769252
2001-08-27,122.106,-2.956814102564124
2001-08-28,120.56,-2.974051282051306
2001-08-29,119.451,-3.097339743589771
2001-08-30,117.449,-3.3596025641025875
2001-08-31,117.801,-3.4080000000000155
2001-09-03,117.269,-3.386185897435908
2001-09-04,119.632,-3.082467948717948
2001-09-05,119.039,-2.816948717948719
2001-09-06,116.427,-2.640775641025627
2001-09-07,113.185,-2.567423076923049
2001-09-10,113.306,-2.5746346153845963
2001-09-11,110.614,-2.8668782051282165
2001-09-12,110.324,-3.1556346153846135
2001-09-13,110.618,-3.3680576923077012
2001-09-14,108.208,-3.687666666666658
2001-09-17,105.455,-3.982935897435908
2001-09-18,104.741,-4.35215384615384
2001-09-19,102.815,-4.736999999999995
2001-09-20,99.876,-5.521910256410266
2001-09-21,98.464,-6.343878205128192
2001-09-24,102.247,-6.860737179487188
2001-09-25,102.556,-7.067410256410255
2001-09-26,102.77,-7.2847948717948725
2001-09-27,103.766,-7.244923076923072
2001-09-28,107.128,-7.012987179487183
2001-10-01,106.078,-6.78178205128205
2001-10-02,107.221,-6.291532051282061
2001-10-03,107.915,-5.6001858974358925
2001-10-04,109.763,-4.809070512820497
2001-10-05,109.243,-3.957788461538456
2001-10-08,108.731,-2.871025641025639
2001-10-09,108.095,-1.715596153846164
2001-10-10,110.697,-0.6677756410256563
2001-10-11,113.235,0.4453717948718179
2001-10-12,112.624,1.4128076923076947
2001-10-15,111.611,2.1270961538461393
2001-10-16,112.262,2.595083333333335
2001-10-17,112.199,3.044205128205121
2001-10-18,111.264,3.344967948717965
2001-10-19,111.489,3.609301282051291
2001-10-22,113.408,3.7130512820512678
2001-10-23,114.461,3.8015000000000043
2001-10-24,114.254,3.8958653846153766
2001-10-25,114.057,3.960314102564098
2001-10-26,115.337,3.7523269230769216
2001-10-29,111.784,3.119102564102576
2001-10-30,109.386,2.5746923076922883
2001-10-31,110.386,2.1714551282051247
2001-11-01,111.567,1.7751923076922935
2001-11-02,112.021,1.442858974358984
2001-11-05,114.399,1.424455128205139
2001-11-06,115.564,1.3991923076922888
2001-11-07,115.06,1.2353589743589737
2001-11-08,116.835,1.0901153846153875
2001-11-09,116.401,1.0137243589743719
2001-11-12,115.269,0.8829551282051256
2001-11-13,118.543,0.7727371794872084
2001-11-14,118.627,0.9379102564102624
2001-11-15,119.347,1.4353012820512987
2001-11-16,119.017,1.9321666666666744
2001-11-19,120.931,2.393000000000015
2001-11-20,119.615,2.7179871794871673
2001-11-21,119.862,2.880929487179472
2001-11-22,119.852,2.9439166666666807
2001-11-23,120.642,3.04839102564101
2001-11-26,121.014,3.030294871794851
2001-11-27,119.858,3.0703012820512896
2001-11-28,117.576,3.1427435897436027
2001-11-29,118.138,2.9596089743589573
2001-11-30,117.598,2.7376666666666694
2001-12-03,116.964,2.4765064102564196
2001-12-04,118.201,2.1616987179487097
2001-12-05,121.358,1.736820512820529
2001-12-06,121.118,1.4493012820512803
2001-12-07,120.087,1.1403589743589748
2001-12-10,118.357,0.7720833333333132
2001-12-11,118.069,0.41651282051282124
2001-12-12,117.44,0.04652564102562451
2001-12-13,115.258,-0.3444230769230785
2001-12-14,114.571,-0.5077628205127951
2001-12-17,115.665,-0.6855384615384423
2001-12-18,116.575,-0.8210192307692239
2001-12-19,117.02,-0.7577756410256455
2001-12-20,116.405,-0.8219807692307626
2001-12-21,118.105,-1.0452948717948658
2001-12-24,119.003,-1.2210064102564075
2001-12-27,119.509,-1.2144807692307609
2001-12-28,120.676,-1.0620384615384495
2001-12-31,118.983,-0.9520641025641083
2002-01-02,117.571,-0.8534166666666607
2002-01-03,119.339,-0.4632179487179542
2002-01-04,120.781,0.06324358974359257
2002-01-07,120.269,0.4311025641025594
2002-01-08,119.536,0.6024679487179441
2002-01-09,119.347,0.7498846153846159
2002-01-10,118.455,0.8877564102564008
2002-01-11,118.209,0.848538461538439
2002-01-14,116.664,0.7127371794871777
2002-01-15,117.561,0.6964423076923083
2002-01-16,116.817,0.5402820512820767
2002-01-17,118.166,0.5460833333333568
2002-01-18,117.152,0.5575128205128408
2002-01-21,117.004,0.4038910256410162
2002-01-22,116.279,0.0733782051282077
2002-01-23,116.742,-0.2776153846153875
2002-01-24,118.108,-0.5326538461538632
2002-01-25,119.486,-0.6680320512820543
2002-01-28,120.245,-0.6600192307691941
2002-01-29,117.569,-0.7344679487179206
2002-01-30,117.634,-0.7009038461538353
2002-01-31,119.32,-0.6010512820513014
2002-02-01,118.689,-0.43297435897436287
2002-02-04,115.998,-0.47860256410255886
2002-02-05,114.745,-0.4510705128205075
2002-02-06,113.948,-0.5120833333333508
2002-02-07,114.149,-0.5579679487179448
2002-02-08,114.957,-0.5381794871794767
2002-02-11,115.824,-0.5378589743589828
2002-02-12,115.865,-0.6702243589743659
2002-02-13,117.252,-0.8317948717948838
2002-02-14,117.863,-0.7502179487179603
2002-02-15,116.407,-0.7736987179487329
